conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,Klasifikasi,Keyword
1631649477982564354,Fri Mar 03 13:35:24 +0000 2023,0,Harga Paket IndiHome Bekasi Utara : Beberapa Hal Wajib Diketahui - Paket First Media Penasaran Apa Saja Pilihan Harga Paket IndiHome Bekasi Utara Yang Paling Baru Di Tahun 2023? Yuk Simak Uraiannya Di Artikel Yang Satu Ini! https://t.co/vtXjDryrwS,1631649477982564354,,,in,,0,0,0,https://x.com/undefined/status/1631649477982564354,1393898582114115591,,Negatif,
1629082820902793217,Fri Feb 24 11:36:26 +0000 2023,0,@FirstMediaCares permisi selamat malam min apakah first media daerah bekasi sedang ada gangguan ?,1629082820902793217,,FirstMediaCares,in,,0,2,0,https://x.com/undefined/status/1629082820902793217,1351906418744455174,,Negatif,gangguan
1617501772230328320,Mon Jan 23 12:37:28 +0000 2023,0,@FirstMediaCares admin ada gangguan atau kenapa ya? kok dari kemarin first media di rumah aku bekasi jatiasih lemot bgttt pakai twitteran aja lemot bgt,1617501772230328320,,FirstMediaCares,in,,0,1,0,https://x.com/undefined/status/1617501772230328320,915120473985261569,,Negatif,gangguan
1613466137576210432,Thu Jan 12 09:21:18 +0000 2023,0,@FirstMediaCares first media area bekasi apakah sdg gangguan?,1613466137576210432,,FirstMediaCares,in,,0,1,0,https://x.com/undefined/status/1613466137576210432,1486776740986834947,,Negatif,gangguan
1612262515140091906,Mon Jan 09 01:38:32 +0000 2023,0,@FirstMediaCares selamat pagi saya dari domisili Kota Bekasi (Jatisari). izin bertanya apakah First Media hari ini ada gangguan? karena sejak jam 8 tadi WiFi di rumah saya tidak ada koneksi. mohon bantuannya ya terima kasih ,1612262515140091906,,FirstMediaCares,in,,0,3,0,https://x.com/undefined/status/1612262515140091906,1508645082110787584,,Negatif,gangguan
1610579360641351681,Wed Jan 04 10:10:17 +0000 2023,0,gue nyerah bgt war alias bekasi lagi ujan first media lemot,1610579360641351681,,,in,,0,0,0,https://x.com/undefined/status/1610579360641351681,1491659695068618756,,Negatif,lemot
1604594943271796736,Sun Dec 18 21:50:21 +0000 2022,0,@FirstMediaCares Ingin berhenti berlangganan first media Nama : Anton Rahman hakim ID pelanggan : 11095450 HP : 08562630009 Alamat lengkap : perumahan taman sentosa blok F1 21 A PASIRSARI CIKARANG SELATAN BEKASI,1604594943271796736,,FirstMediaCares,in,,0,2,0,https://x.com/undefined/status/1604594943271796736,1468592746457751553,,Positif,aman
1603170241483137032,Sat Dec 17 14:18:06 +0000 2022,0,@FirstMediaCares Min kok jaringan WiFi first media di perumahan graha prima Bekasi gabisa ya dari sore tadi tolong dijawab gara² anda saya terancam kaga nonton bola heiiii,1604118745248858112,,FirstMediaCares,in,,0,1,0,https://x.com/undefined/status/1604118745248858112,1428161370680266753,,Negatif,
1600697908944261120,Fri Dec 09 01:38:59 +0000 2022,1,@ruliemaulana Banyak yg akhirnya bangkrut kaya matahari bolt / dibeli sahamnya kayak First Media sekarang punya XL. Tinggal Grab &amp; OVO yg masih bagus itu jg berdarah - darah sekarang. Properti di Bekasi kalah saing Summarecon agung Sedayu Metland. Tenant pada pindah karena minim inovasi.,1601028603260850176,,kingofbanana_,in,,1,0,2,https://x.com/undefined/status/1601028603260850176,1412959158727372801,,Positif,bagus
1599926798493810689,Tue Dec 06 00:40:48 +0000 2022,0,@FirstMediaCares dear first media .. mohon informasi apakah daerah Tambun Selatan Bekasi lagi ada kendala ?,1599926798493810689,,FirstMediaCares,in,,0,1,0,https://x.com/undefined/status/1599926798493810689,1463063049724563456,,Negatif,lag
1599397822994223104,Sun Dec 04 13:38:51 +0000 2022,0,@FirstMediaCares halo min. Saya mau tanya first media lagi ada gangguan jaringan kah? Di region rumah saya Tambun Selatan Bekasi gak ada lampu warna birunya,1599397822994223104,,FirstMediaCares,in,,0,2,0,https://x.com/undefined/status/1599397822994223104,1135379480858378245,,Negatif,gangguan
1599294903976333312,Sun Dec 04 06:49:53 +0000 2022,0,@FirstMediaCares apakah first media di jarirahayu bekasi bermasalah? Dari pagi tak ada sambungan,1599294903976333312,,FirstMediaCares,in,,0,1,0,https://x.com/undefined/status/1599294903976333312,487322762,,Negatif,
1598216192425984001,Thu Dec 01 07:23:28 +0000 2022,0,Cara pasang wifi first media di bekasi timur hubungi kemana yah??,1598216192425984001,,,in,,0,2,0,https://x.com/undefined/status/1598216192425984001,96240575,,Negatif,
1592723814194253824,Wed Nov 16 03:38:43 +0000 2022,0,@FirstMediaCares kaa internet mati ya first media untuk di Komplek sbs harapan jaya Bekasi Utara. Selalu begini FM. Ga bener,1592723814194253824,,FirstMediaCares,in,,0,1,0,https://x.com/undefined/status/1592723814194253824,72275848,,Negatif,
1591582528934408192,Sun Nov 13 00:03:39 +0000 2022,0,@FirstMediaCares first media untuk daerah pesona anggrek bekasi utara Dr semalem error sampe pagi ini kenapa ya akhir ini jd sering,1591582528934408192,,FirstMediaCares,in,,0,1,0,https://x.com/undefined/status/1591582528934408192,1468247949394288645,,Negatif,error
1589009753417875458,Sat Nov 05 21:40:22 +0000 2022,0,@FirstMediaCares parah nih first media udh beberapa hari berturut2 gangguan terus dari malam sampai pagi mau siang.. mana setiap gangguan gaada info.. wifi + tv cable gabisa gini caranya bisa berpaling. Alamat saya villa indah permai bekasi,1589009753417875458,,FirstMediaCares,in,,0,1,0,https://x.com/undefined/status/1589009753417875458,1060480268417425410,,Negatif,gangguan
1588720769043173376,Sat Nov 05 02:32:03 +0000 2022,1,FIRST MEDIA WHYYY?? DI BEKASI SEMINGGU INI SERING BANGET BERMASALAH.. #WHYYY,1588720769043173376,,,in,,0,0,0,https://x.com/undefined/status/1588720769043173376,1357376392954998785,,Negatif,
1588697752552509440,Sat Nov 05 01:00:35 +0000 2022,0,@FirstMediaCares min tolonglah ini first media di harapan indah bekasi tidak ada koneksi dari kemarin tolong pekerjaan saya jd terhambat gegara itu idnya ini 12116408. Semoga segera ada perbaikan ya saya butuh bgt internet,1588697752552509440,,FirstMediaCares,in,,0,0,0,https://x.com/undefined/status/1588697752552509440,1453809424544399362,,Negatif,
1587827816879357953,Thu Nov 03 00:40:44 +0000 2022,0,@nwrhdytlh @AREAJULID Jangankan orang desa rumah gue perbatasan bekasi bogor aja ga dapet signal tuh set top box. Untung dari awal masih pake first media ,1587967980193091584,,nwrhdytlh111,in,,0,0,0,https://x.com/undefined/status/1587967980193091584,1545261559584538624,,Negatif,
1585083480345808896,Wed Oct 26 01:38:45 +0000 2022,0,First media @FirstMediaCares lo kenapa sihh sama Bekasi itu gangguan jaringan muluuu katanya Bekasi termasuk internet speednya cepet tp kenapa di gue gabisa mulu sih malah lbh sering error?? Pdhl lampunya full,1585083480345808896,,,in,,0,0,0,https://x.com/undefined/status/1585083480345808896,2343526020,,Negatif,gangguan
1573860319394660352,Sun Sep 25 02:21:55 +0000 2022,0,First Media apa kabar jaringan ditempat saya Pondok Ungu-Bekasi sudah 5 hari mati @FirstMediaCares,1573860319394660352,,,in,,0,1,0,https://x.com/undefined/status/1573860319394660352,343899843,,Negatif,
1570187824032542720,Wed Sep 14 23:08:44 +0000 2022,0,@FirstMediaCares saya butuh router access untuk ganti password wifi. Sudah wa ke sales anda di Springlake Sumarecon Bekasi. Saya paham tugas nya dia jual koneksi first media doang. Tapi kok setelah selesai jual langsung attitude nya berubah . Gak jawab wa lagi. Bad attitude.,1570187824032542720,,FirstMediaCares,in,,0,0,0,https://x.com/undefined/status/1570187824032542720,1532500321162866689,,Negatif,lag
1549004211350048770,Mon Jul 18 12:12:37 +0000 2022,0,@FirstMediaCares no. Pelanggan 11438597 wilayah bekasi timur ini kenapa yaa tv nya? Hanya muncul tulisan first media utk internet tidak ada masalah c.. Mohon infonya,1549004211350048770,,FirstMediaCares,in,,0,1,0,https://x.com/undefined/status/1549004211350048770,72374803,,Negatif,
1540587893181521920,Thu Jun 30 02:14:10 +0000 2022,0,@FirstMediaCares Hallo min mau masang first media area bekasi timur tambun selatan hubungin kemana ya dibantu,1542330625612316672,,FirstMediaCares,in,,0,1,0,https://x.com/undefined/status/1542330625612316672,209680773,,Negatif,
1541605899902787584,Tue Jun 28 02:14:22 +0000 2022,0,First media ada masalahkah di area harapan jaya Bekasi?@FirstMediaCares total tdk bisa internet dan TV tlg min diperbaiki,1541605899902787584,,,in,,0,1,0,https://x.com/undefined/status/1541605899902787584,1360940189334446089,,Negatif,
1539661911821672448,Wed Jun 22 17:36:07 +0000 2022,0,Dan yg sangat mengejutkan data alamat saya lengkap dipegang oleh marketing ini. Saya tanyakan pada mereka mereka menjelaskan bahwa mereka adalah marketing First Media yg berlokasi di sekitar summarcon Bekasi dan menggunakan seregam first media.,1539663535222824960,,IreneNessy,in,,0,0,0,https://x.com/undefined/status/1539663535222824960,4074095298,,Negatif,
1520905827775053824,Wed May 25 06:27:32 +0000 2022,0,@FirstMediaCares Sudah 2 hari saya gangguan jaringan di bekasi ini kenapa sama first media sudah di bayar sampe 440rb setelah bayar malah ga bisa di gunakan ,1529348422649942016,,FirstMediaCares,in,,0,1,0,https://x.com/undefined/status/1529348422649942016,3178564026,,Negatif,gangguan
1529078283044016129,Tue May 24 12:34:06 +0000 2022,2,Ya Allah bukakan terus pintu rejekimu hamba lagi daftar magang: - Citilink Indonesia - PT Intiland Development Tbk - Bekasi Keren - First Media - Mantappu - dibimbing Gatau yang mana jodohnya soalnya intitusi ternama semua. Optimis aja dlu..,1529078283044016129,,,in,,0,1,0,https://x.com/undefined/status/1529078283044016129,1446549082281889795,,Negatif,lag
1528627736285429760,Mon May 23 06:43:47 +0000 2022,0,Kantor marketing first media bekasi https://t.co/XAkxsWdBKl,1528627736285429760,,,in,,0,0,0,https://x.com/undefined/status/1528627736285429760,891010116878598144,,Negatif,
